index,Actinobacteria,Clostridia
zr12622_10V3V4,36248,32373
zr12622_11V3V4,31669,13954
zr12622_12V3V4,27263,8293
zr12622_13V3V4,26097,5552
zr12622_14V3V4,26094,7727
zr12622_15V3V4,24222,10504
zr12622_16V3V4,8529,37839
zr12622_17V3V4,8766,16239
zr12622_18V3V4,28793,8371
zr12622_19V3V4,10628,45461
zr12622_1V3V4,1368,4360
zr12622_20V3V4,6996,37695
zr12622_21V3V4,48091,9809
zr12622_22V3V4,23750,52785
zr12622_23V3V4,68195,6710
zr12622_24V3V4,48902,21414
zr12622_25V3V4,25242,13879
zr12622_26V3V4,6327,41220
zr12622_27V3V4,786,84039
zr12622_28V3V4,3519,88981
zr12622_29V3V4,0,0
zr12622_2V3V4,3538,12554
zr12622_30V3V4,578,595
zr12622_31V3V4,1285,20394
zr12622_32V3V4,1068,15362
zr12622_33V3V4,8421,15901
zr12622_34V3V4,2437,976
zr12622_35V3V4,6540,41352
zr12622_36V3V4,181,31503
zr12622_37V3V4,5789,37582
zr12622_38V3V4,5642,24653
zr12622_39V3V4,609,8107
zr12622_3V3V4,858,5971
zr12622_40V3V4,31112,34332
zr12622_41V3V4,63258,22476
zr12622_42V3V4,39510,2292
zr12622_43V3V4,42416,1792
zr12622_44V3V4,9435,4186
zr12622_45V3V4,4462,96114
zr12622_46V3V4,24061,60615
zr12622_47V3V4,8769,45492
zr12622_48V3V4,15688,39399
zr12622_49V3V4,11510,39522
zr12622_4V3V4,23173,11954
zr12622_50V3V4,24940,4392
zr12622_51V3V4,3909,32412
zr12622_52V3V4,11875,14468
zr12622_53V3V4,24497,22764
zr12622_54V3V4,727,2549
zr12622_55V3V4,7816,37260
zr12622_56V3V4,4379,35368
zr12622_57V3V4,3894,60045
zr12622_58V3V4,7390,53206
zr12622_59V3V4,4333,53124
zr12622_5V3V4,45812,2783
zr12622_60V3V4,418,34823
zr12622_61V3V4,14533,17530
zr12622_62V3V4,13910,11395
zr12622_63V3V4,19072,1274
zr12622_64V3V4,15321,9774
zr12622_65V3V4,5029,35698
zr12622_66V3V4,5269,52102
zr12622_67V3V4,5159,57485
zr12622_68V3V4,8633,39984
zr12622_69V3V4,4880,57922
zr12622_6V3V4,1735,62321
zr12622_70V3V4,14360,1920
zr12622_71V3V4,13501,7713
zr12622_72V3V4,11125,2939
zr12622_73V3V4,6336,17647
zr12622_74V3V4,7870,30868
zr12622_75V3V4,6098,37169
zr12622_76V3V4,3638,41101
zr12622_77V3V4,2256,69818
zr12622_7V3V4,1808,82762
zr12622_8V3V4,0,96463
zr12622_9V3V4,16334,65379
